序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
363,2025,財務及投資規劃分析人員,K651000000,1092,74443,137.5
364,2025,專案管理師(含經營管理顧問),K651000000,961,67977,112.9
365,2025,稽核人員,K651000000,249,79476,132.3
366,2025,人力資源管理師,K651000000,451,66859,118.1
367,2025,廣告及行銷專業人員(含企劃),K651000000,729,68684,112.2
368,2025,公關專業人員,K651000000,103,72169,119.2
369,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),K651000000,2427,69978,121.1
370,2025,律師,K651000000,---,---,---
371,2025,編輯、作家及有關撰稿人員,K651000000,-,-,-
372,2025,翻譯人員,K651000000,---,---,---
373,2025,其他專業人員,K651000000,-,-,-
374,2025,技術員及助理專業人員,K651000000,78269,65452,101.2
375,2025,營建工程技術員(含建築、土木、景觀、測量、水利、消防),K651000000,---,---,---
376,2025,物理、職能(復健)治療技術員,K651000000,-,-,-
377,2025,勞安及衛生技術員,K651000000,---,---,---
378,2025,其他醫療保健助理專業人員,K651000000,-,-,-
379,2025,證券金融交易員及經紀人(含理財專員、承銷人員),K651000000,407,63336,108.4
380,2025,信用及貸款人員,K651000000,197,63365,103.3
381,2025,會計人員,K651000000,435,57601,94.9
382,2025,統計及精算助理專業人員,K651000000,115,57749,93.6
383,2025,財物及損失鑑價人員,K651000000,370,53767,97.6
384,2025,保險代理人 (含保險業務員),K651000000,74843,65671,101.1
385,2025,工商業銷售代表(含業務員),K651000000,845,58621,100
386,2025,採購員,K651000000,44,60401,100.9
387,2025,會議及活動規劃人員,K651000000,-,-,-
388,2025,不動產經紀人(含房屋仲介),K651000000,---,---,---
389,2025,專業秘書,K651000000,74,72859,128.7
390,2025,法務人員,K651000000,349,68986,120.1
391,2025,資訊管理及維護技術員,K651000000,522,61559,103.3
392,2025,其他技術員及助理專業人員,K651000000,-,-,-
393,2025,事務支援人員,K651000000,14361,51807,84.8
394,2025,總務,K651000000,321,52105,86.6
395,2025,辦公室綜合事務人員(含資料登錄、一般事務秘書),K651000000,4074,51137,85.1
396,2025,銀行、郵局櫃台事務人員,K651000000,-,-,-
397,2025,收帳、收費人員(含帳款催收),K651000000,359,46341,72.9
398,2025,接待員及服務台事務人員(含總機),K651000000,322,45545,73.8
